NSE_Return,HSI_Close_Ratio,NSE_Close_Ratio,HSI_Return,VIX_Return,IXIC_Return,N225_Close_Ratio,N225_Return,DJI_Return,GDAXI_Return,Nifty_Open_Dir
,,,,,,,,,,0.0
,0.9929102403182082,1.003741012210404,,,,,,,,1.0
0.15587749862460143,1.0030093050741258,1.0004638291906984,,,,0.9849199727677151,,,-0.12148165861026738,1.0
-0.021361652781592966,0.9931401808602931,1.001483473612722,-0.07191602507891082,-7.782100936292924,0.8826526996365436,1.0041704549649997,,0.3037980105233373,0.0005985367714789191,1.0
1.017029542610337,1.0035674915360715,0.9943013590882647,1.4557327994046299,-1.5189898681965852,0.1997433157978845,0.9968757959471788,-0.3749622466036939,-0.21497718107816866,0.005445809015824921,1.0
-0.36259035398709116,1.0001072722721782,1.0046155663151675,0.20626509796417558,-2.999146351170179,0.6035072821699572,0.9968757959471788,-0.33994380761678267,0.32419107309502593,0.12144504344144824,1.0
-0.09401004613908137,0.991924339327164,1.0028290024028557,0.24743217942808649,2.1201478026736664,0.194885864504446,1.0058747237622032,0.0,-0.382792448754421,-0.30191828403993703,1.0
0.6380462228092743,0.994796685213762,0.996875296759032,0.8252259362709236,-0.6055419200482692,0.3615446749085871,0.9996886444799047,-0.7858950906354467,-0.1601596646900072,0.16698016792768833,1.0
1.110570972035907,1.0055814890210497,0.9936937369447338,0.8375522514841416,-2.0017366998950403,0.2130846911384543,1.0086486979744544,0.3275945760603083,0.4973425715502966,0.5427651726847227,1.0
0.3167988574872327,0.9974796360914341,0.9980789810817156,-0.4636078365316765,2.486676085964845,-0.29045084166676727,0.9941770639590315,-1.1875787403182958,-0.31712143512449,-1.074429478978045,1.0
-0.08148474852923693,1.0078003262293804,1.0068212376763523,0.47466483602884857,-2.686312137274227,0.480034784874217,1.0064880369913847,0.7973999297333556,-0.026492037856318262,0.9386274856336696,0.0
0.14821044232022906,0.9990761529895438,0.9974028135837933,-0.9557781252099495,0.0,0.0,1.011955222134337,-0.9956773039062838,0.0,-0.6403695579882185,1.0
