Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,Close_^DJI,High_^DJI,Low_^DJI,Open_^DJI,Volume_^DJI,Close_^IXIC,High_^IXIC,Low_^IXIC,Open_^IXIC,Volume_^IXIC,Close_^HSI,High_^HSI,Low_^HSI,Open_^HSI,Volume_^HSI,Close_^N225,High_^N225,Low_^N225,Open_^N225,Volume_^N225,Close_^GDAXI,High_^GDAXI,Low_^GDAXI,Open_^GDAXI,Volume_^GDAXI,Close_^VIX,High_^VIX,Low_^VIX,Open_^VIX,Volume_^VIX,NSE_Return,DJI_Return,IXIC_Return,HSI_Return,N225_Return,GDAXI_Return,VIX_Return,NSE_Close_Ratio,N225_Close_Ratio,HSI_Close_Ratio,Nifty_Open_Dir,Quarter,Month,Year
2017-01-02,8179.5,8212.0,8133.7998046875,8210.099609375,118300.0,,,,,,,,,,,,,,,,,,,,,11598.330078125,11617.2802734375,11414.8203125,11426.3798828125,47456100.0,,,,,,,,,,,,,,,,0,1,1,2017
2017-01-03,8192.25,8219.099609375,8148.60009765625,8196.0498046875,127300.0,19881.759765625,19938.529296875,19775.9296875,19872.859375,339180000.0,5429.080078125,5452.56982421875,5397.990234375,5425.6201171875,1887670000.0,22150.400390625,22189.310546875,21883.8203125,21993.359375,1302400000.0,,,,,,11584.240234375,11637.3701171875,11561.23046875,11631.7001953125,88413500.0,12.850000381469727,14.069999694824219,12.850000381469727,14.069999694824219,0.0,,,,,,,,1.003741012210404,,0.9929102403182082,1,1,1,2017
2017-01-04,8190.5,8218.5,8180.89990234375,8202.650390625,132400.0,19942.16015625,19956.140625,19878.830078125,19890.939453125,280010000.0,5477.0,5482.35009765625,5440.240234375,5440.91015625,1885490000.0,22134.470703125,22228.060546875,22076.630859375,22201.080078125,1437700000.0,19594.16015625,19594.16015625,19277.9296875,19298.6796875,163500000.0,11584.3095703125,11616.08984375,11531.4296875,11609.5302734375,82173600.0,11.850000381469727,12.800000190734863,11.630000114440918,12.779999732971191,0.0,0.15587749862460143,,,,,-0.12148165861026738,,1.0004638291906984,0.9849199727677151,1.0030093050741258,1,1,1,2017
2017-01-05,8273.7998046875,8282.650390625,8223.7001953125,8226.650390625,159100.0,19899.2890625,19948.599609375,19811.119140625,19924.560546875,269920000.0,5487.93994140625,5495.85009765625,5464.35986328125,5474.39013671875,1799170000.0,22456.689453125,22483.009765625,22230.310546875,22302.640625,1830700000.0,19520.689453125,19615.400390625,19473.279296875,19602.099609375,134500000.0,11584.9404296875,11602.5400390625,11537.400390625,11537.73046875,74924900.0,11.670000076293945,12.09000015258789,11.399999618530273,11.960000038146973,0.0,-0.021361652781592966,0.3037980105233373,0.8826526996365436,-0.07191602507891082,,0.0005985367714789191,-7.782100936292924,1.001483473612722,1.0041704549649997,0.9931401808602931,1,1,1,2017
2017-01-06,8243.7998046875,8306.849609375,8233.25,8281.849609375,139400.0,19963.80078125,19999.630859375,19834.080078125,19906.9609375,277700000.0,5521.06005859375,5536.52001953125,5482.81005859375,5499.080078125,1711870000.0,22503.009765625,22605.66015625,22445.779296875,22583.2890625,1390000000.0,19454.330078125,19472.369140625,19354.439453125,19393.55078125,119100000.0,11599.009765625,11605.740234375,11547.0498046875,11560.51953125,67084900.0,11.319999694824219,11.739999771118164,10.979999542236328,11.699999809265137,0.0,1.017029542610337,-0.21497718107816866,0.1997433157978845,1.4557327994046299,-0.3749622466036939,0.005445809015824921,-1.5189898681965852,0.9943013590882647,0.9968757959471788,1.0035674915360715,1,1,1,2017
2017-01-09,8236.0498046875,8263.0,8227.75,8259.349609375,99100.0,19887.380859375,19943.779296875,19887.380859375,19931.41015625,287510000.0,5531.81982421875,5541.080078125,5517.14013671875,5527.580078125,1887740000.0,22558.689453125,22626.4296875,22476.349609375,22561.109375,1303500000.0,19454.330078125,19472.369140625,19354.439453125,19393.55078125,119100000.0,11563.990234375,11606.8896484375,11522.349609375,11606.8896484375,78728200.0,11.5600004196167,12.079999923706055,11.460000038146973,11.710000038146973,0.0,-0.36259035398709116,0.32419107309502593,0.6035072821699572,0.20626509796417558,-0.33994380761678267,0.12144504344144824,-2.999146351170179,1.0046155663151675,0.9968757959471788,1.0001072722721782,1,1,1,2017
2017-01-10,8288.599609375,8293.7998046875,8261.0,8262.7001953125,142900.0,19855.529296875,19957.119140625,19836.029296875,19876.349609375,299410000.0,5551.81982421875,5564.25,5528.10986328125,5536.5400390625,1798610000.0,22744.849609375,22744.849609375,22549.859375,22561.169921875,1422500000.0,19301.439453125,19484.900390625,19255.349609375,19414.830078125,119100000.0,11583.2998046875,11606.9501953125,11544.990234375,11583.240234375,86076700.0,11.489999771118164,11.789999961853027,11.3100004196167,11.59000015258789,0.0,-0.09401004613908137,-0.382792448754421,0.194885864504446,0.24743217942808649,0.0,-0.30191828403993703,2.1201478026736664,1.0028290024028557,1.0058747237622032,0.991924339327164,1,1,1,2017
2017-01-11,8380.650390625,8389.0,8322.25,8327.7998046875,186500.0,19954.279296875,19973.419921875,19833.16015625,19887.380859375,336150000.0,5563.64990234375,5564.080078125,5524.02978515625,5550.72021484375,1960830000.0,22935.349609375,22944.580078125,22767.369140625,22816.009765625,1554100000.0,19364.669921875,19402.169921875,19325.4609375,19358.640625,119100000.0,11646.169921875,11692.26953125,11524.990234375,11587.5302734375,98191900.0,11.260000228881836,12.229999542236328,11.210000038146973,11.5600004196167,0.0,0.6380462228092743,-0.1601596646900072,0.3615446749085871,0.8252259362709236,-0.7858950906354467,0.16698016792768833,-0.6055419200482692,0.996875296759032,0.9996886444799047,0.994796685213762,1,1,1,2017
2017-01-12,8407.2001953125,8417.2001953125,8382.2998046875,8391.0498046875,172600.0,19891.0,19929.2890625,19770.470703125,19926.2109375,306290000.0,5547.490234375,5550.669921875,5496.81982421875,5542.56005859375,1805840000.0,22829.01953125,22971.490234375,22751.669921875,22956.439453125,1454700000.0,19134.69921875,19300.189453125,19069.01953125,19300.189453125,119100000.0,11521.0400390625,11606.4296875,11491.8701171875,11599.240234375,98548200.0,11.539999961853027,12.600000381469727,11.319999694824219,11.479999542236328,0.0,1.110570972035907,0.4973425715502966,0.2130846911384543,0.8375522514841416,0.3275945760603083,0.5427651726847227,-2.0017366998950403,0.9936937369447338,1.0086486979744544,1.0055814890210497,1,1,1,2017
2017-01-13,8400.349609375,8461.0498046875,8373.150390625,8457.650390625,185300.0,19885.73046875,19952.029296875,19849.380859375,19912.5390625,263780000.0,5574.1201171875,5584.259765625,5557.2001953125,5557.56982421875,1611260000.0,22937.380859375,22971.44921875,22859.279296875,22879.5703125,1371800000.0,19287.279296875,19299.359375,19156.9296875,19174.970703125,119100000.0,11629.1796875,11635.5498046875,11554.4501953125,11576.7802734375,80130600.0,11.229999542236328,11.619999885559082,10.9399995803833,11.449999809265137,0.0,0.3167988574872327,-0.31712143512449,-0.29045084166676727,-0.4636078365316765,-1.1875787403182958,-1.074429478978045,2.486676085964845,0.9980789810817156,0.9941770639590315,0.9974796360914341,1,1,1,2017
